GpoName;OU;Reason
0.IPG_Local_Administrator_Password;OU=YLA-BrunTestPC,OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
0.IPG_Local_Administrator_Password;OU=LDM,OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
0.IPG_Local_Administrator_Password;OU=KIOSK PC,OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
0.IPG_Local_Administrator_Password;OU=FP-POD-PC,OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
0.IPG_Local_Administrator_Password;OU=Servers,OU=EMEA,OU=Global Services,DC=ipgphotonics,DC=com;No enabled computer accounts
IPG_Local admin password management solution-X64;OU=Computers,OU=IPGSP-BC,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPG_Local admin password management solution-X64;OU=FC,OU=Laptops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPG_Local admin password management solution-X64;OU=LDM,OU=Laptops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPG_Local admin password management solution-X64;OU=YLA-BrunTestPC,OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPG_Local admin password management solution-X64;OU=LDM,OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPG_Local admin password management solution-X64;OU=KIOSK PC,OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPG_Local admin password management solution-X64;OU=FP-POD-PC,OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPG_Local admin password management solution-X64;OU=Servers,OU=EMEA,OU=Global Services,DC=ipgphotonics,DC=com;No enabled computer accounts
IPG_Local admin password management solution-X64;OU=Enabled,OU=Users,OU=IPGRT-MI,OU=CIS,DC=ipgphotonics,DC=com;The GPO doesn't have user settings
IPGL_RemoteAssistantAccess;OU=Enabled,OU=Users,OU=IPGRT-MI,OU=CIS,DC=ipgphotonics,DC=com;The GPO doesn't have user settings
IPGL_RemoteAssistantAccess;OU=Others,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPGL_RemoteAssistantAccess;OU=FC,OU=Laptops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPGL_RemoteAssistantAccess;OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPGL_RemoteAssistantAccess;OU=LDM,OU=Laptops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPGL_RemoteAssistantAccess;OU=LDM,OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPGL_RemoteAssistantAccess;OU=FC,OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
IPGL_RemoteAssistantAccess;OU=FP-POD-PC,OU=Desktops,OU=Computers,OU=IPGL-BU,OU=EMEA,DC=ipgphotonics,DC=com;No enabled computer accounts
