"Name";"OU";"User";"Computer";"Delegation"
"IPG_EMEA_PKI_Root_CA_Install";"EMEA.IPG.CORP/IPGL-BU/Computers/CyberArk";"false";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_PKI_Root_CA_Install";"EMEA.IPG.CORP";"false";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_YubiKey_MiniDriverInstall";"EMEA.IPG.CORP/IPGL-BU/Computers";"false";"false";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_RDP_PDB_SERVERS";"EMEA.IPG.CORP/IPGL-BU/Computers/Servers/RDP SERVERS";"true";"true";"EMEA.IPG-ServerAdministratorsTier1@GpoRead|Domain Users@GpoApply|Domain Computers@GpoApply|Authenticated Users@GpoApply|Enterprise Admins@GpoEditDeleteModifySecurity|Domain Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_RDP_PDB_SERVERS";"EMEA.IPG.CORP/IPGRT-MI/Computers/Servers/RDP SERVERS";"true";"true";"EMEA.IPG-ServerAdministratorsTier1@GpoRead|Domain Users@GpoApply|Domain Computers@GpoApply|Authenticated Users@GpoApply|Enterprise Admins@GpoEditDeleteModifySecurity|Domain Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_RDP_SESSION_SETTINGS";"EMEA.IPG.CORP/IPGL-BU/Computers/Servers/RDP SERVERS";"true";"true";"EMEA.IPG-ServerAdministratorsTier1@GpoRead|Domain Users@GpoApply|Domain Computers@GpoApply|Authenticated Users@GpoApply|Enterprise Admins@GpoEditDeleteModifySecurity|Domain Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_RDP_SESSION_SETTINGS";"EMEA.IPG.CORP/IPGRT-MI/Computers/Servers/RDP SERVERS";"true";"true";"EMEA.IPG-ServerAdministratorsTier1@GpoRead|Domain Users@GpoApply|Domain Computers@GpoApply|Authenticated Users@GpoApply|Enterprise Admins@GpoEditDeleteModifySecurity|Domain Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_SCCM_Client_EUR_Site";"EMEA.IPG.CORP";"true";"true";"Domain Computers@GpoApply|Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_LAPS_CONFIG";"EMEA.IPG.CORP/IPGL-BU/Computers";"true";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
"IPG_EMEA_LAPS_CONFIG";"EMEA.IPG.CORP/IPGRT-MI/Computers";"true";"true";"Authenticated Users@GpoApply|Domain Admins@GpoEditDeleteModifySecurity|Enterprise Admins@GpoEditDeleteModifySecurity|ENTERPRISE DOMAIN CONTROLLERS@GpoRead|SYSTEM@GpoEditDeleteModifySecurity"
